severity,finding,surface,player_id,name,position,field,ours,published,note
3,source absence rendered as a number,draft-board,18618,Brenden Rice,WR,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18618,Brenden Rice,WR,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18789,Chandler Rivers,CB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18789,Chandler Rivers,CB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18958,Landon Robinson,DT,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,18958,Landon Robinson,DT,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19044,Jacob Rodriguez,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19044,Jacob Rodriguez,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19107,Jimmy Rolder,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19107,Jimmy Rolder,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19231,Kurtis Rourke,QB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19231,Kurtis Rourke,QB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19238,Sam Roush,TE,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19238,Sam Roush,TE,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19267,Joe Royer,TE,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19267,Joe Royer,TE,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19389,Carsen Ryan,TE,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,19389,Carsen Ryan,TE,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
